Observatoire des territoires - ANCT; ; ; 
Référentiel géographique : Communes (2025); ; ; 
Code;Libellé;Part d'actifs selon le mode de transport principalement utilisé pour aller travailler 2022;Taux d'évolution annuel de la population 2016-2022
01001;L'Abergement-Clémenciat;1;1.91
01002;L'Abergement-de-Varey;5.2;1.96
01004;Ambérieu-en-Bugey;13.7;1.67
01005;Ambérieux-en-Dombes;3;2.32
01006;Ambléon;0;0.6
01007;Ambronay;7.3;0.87
01008;Ambutrix;8.7;0.31
01009;Andert-et-Condon;2.9;-0.05
01010;Anglefort;2.3;0.38
01011;Apremont;0.5;0.68
01012;Aranc;3.5;0.15
01013;Arandas;3.3;-0.92
01014;Arbent;2.8;0.5
01015;Arboys en Bugey;2.6;1.21
01016;Arbigny;0;-0.11
01017;Argis;11.8;-0.7
01019;Armix;0;-0.65
01021;Ars-sur-Formans;4.3;1.44
01022;Artemare;3.1;-1.2
01023;Asnières-sur-Saône;2.8;3.4
01024;Attignat;1.7;0.51
01025;Bâgé-Dommartin;1.5;-0.13
01026;Bâgé-le-Châtel;1.6;1.27
01027;Balan;19.8;0.13
01028;Baneins;1.7;0.61
01029;Beaupont;4.6;0.76
01030;Beauregard;4;-1.14
01031;Bellignat;2.7;-0.17
01032;Béligneux;11.3;0.84
01033;Valserhône;13.2;-0.14
01034;Belley;3.7;0.25
01035;Belleydoux;1.3;-0.59
01036;Valromey-sur-Séran;5.3;0.64
01037;Bénonces;1.4;0.94
01038;Bény;1.7;0.15
01040;Béréziat;0.4;-0.44
01041;Bettant;12.9;0.26
01042;Bey;4.1;0.83
01043;Beynost;12.2;1.34
01044;Billiat;7.9;1.52
01045;Birieux;5.5;-0.29
01046;Biziat;2;0.76
01047;Blyes;4.9;5.27
01049;La Boisse;8.8;1.99
01050;Boissey;1.1;2.41
01051;Bolozon;2.4;1.79
01052;Bouligneux;5.8;0.21
01053;Bourg-en-Bresse;9.1;0.28
01054;Bourg-Saint-Christophe;8.7;2.54
01056;Boyeux-Saint-Jérôme;1.8;0.37
01057;Boz;0.4;-0.2
01058;Brégnier-Cordon;0.8;-0.74
01060;Brénod;0.7;0.78
01061;Brens;1.9;-0.76
01062;Bressolles;8.4;1.99
01063;Brion;2;2.32
01064;Briord;2;1.79
01065;Buellas;1.9;1.07
01066;La Burbanche;0;5.34
01067;Ceignes;2.1;0.65
01068;Cerdon;2;-0.65
01069;Certines;2.5;-0.15
01071;Cessy;6.1;2.38
