city_code;da_name;da_population;da_surface_ha;dvf_nbtrans;dvf_pxm2_median;dvf_surface_median;dvf_nbtrans_cod111;dvf_pxm2_median_cod111;dvf_nbtrans_cod121;dvf_pxm2_median_cod121;dvf_surface_median_cod111;dvf_surface_median_cod121;dvf_nbtrans_terrain;dvf_pxm2_median_terrain;dvf_surface_median_terrain;anct_part_actifs_transports_en_commun_2022;anct_taux_annuel_evol_population_2016_2022
01001;L'Abergement-Clémenciat;860;1564.5;26;2556;95;26;2556;0;;95;;7;120;772;1;1.91
01002;L'Abergement-de-Varey;270;919.01;8;1942;95;7;1883;2;3545;113;70;10;42;689;5.2;1.96
01004;Ambérieu-en-Bugey;15934;2454.8;539;2440;80;266;2500;273;2351;93;69;113;88;453;13.7;1.67
01005;Ambérieux-en-Dombes;1906;1603.97;108;2821;90;60;3100;48;2684;104;65;12;116;615;3;2.32
01006;Ambléon;115;604.01;12;1907;96;10;1907;2;2831;96;85;4;2;6488;0;0.6
01007;Ambronay;2841;3370.53;103;2200;105;100;2208;7;2111;105;78;34;104;556;7.3;0.87
01008;Ambutrix;760;518.27;23;2447;94;23;2447;0;;94;;9;17;1109;8.7;0.31
01009;Andert-et-Condon;348;700.67;18;1816;108;15;2013;6;1237;112;84;5;5;2130;2.9;-0.05
01010;Anglefort;1174;2955.54;57;2754;75;41;2556;17;3177;88;59;31;11;820;2.3;0.38
01011;Apremont;415;1507.23;8;2298;91;6;2298;5;1792;98;59;9;53;896;0.5;0.68
01012;Aranc;331;2171.31;15;1352;80;15;1352;0;;80;;8;4;95;3.5;0.15
01013;Arandas;138;1405.34;6;1145;78;12;1389;1;894;73;104;9;63;184;3.3;-0.92
01014;Arbent;3555;2366.87;65;1985;81;39;2119;26;1505;100;67;22;47;991;2.8;0.5
01015;Arboys en Bugey;710;2260.53;26;1871;110;25;1841;1;1919;110;86;24;13;1423;2.6;1.21
01016;Arbigny;462;1754.36;11;2188;94;11;2188;0;;94;;14;23;1189;0;-0.11
01017;Argis;419;781.9;35;1364;78;32;1338;9;955;78;66;10;18;123;11.8;-0.7
01019;Armix;25;696.88;2;1551;107;2;1551;0;;107;;1;26;388;0;-0.65
01021;Ars-sur-Formans;1528;551.98;31;3161;97;26;3144;5;3208;103;54;7;193;516;4.3;1.44
01022;Artemare;1139;332.29;57;2204;93;52;2190;7;2083;94;60;19;15;1553;3.1;-1.2
01023;Asnières-sur-Saône;78;466.77;5;929;135;5;929;0;;135;;1;11;1426;2.8;3.4
01024;Attignat;3409;1894.31;101;2294;94;81;2292;20;2405;101;66;42;93;651;1.7;0.51
01025;Bâgé-Dommartin;4050;5701.1;114;2230;97;110;2239;9;1685;98;92;56;56;705;1.5;-0.13
01026;Bâgé-le-Châtel;971;87.64;34;2334;92;27;2330;7;3178;100;43;8;122;451;1.6;1.27
01027;Balan;3077;1799.48;49;3143;92;37;3217;16;2953;100;57;18;288;600;19.8;0.13
01028;Baneins;621;907.01;19;2625;92;18;2611;1;3070;94;57;7;145;586;1.7;0.61
01029;Beaupont;734;1415.51;31;1539;100;30;1533;1;1554;101;92;7;20;1393;4.6;0.76
01030;Beauregard;872;98.18;35;2167;94;26;2438;9;1950;100;85;18;310;475;4;-1.14
01031;Bellignat;3525;781.94;107;1727;62;34;2165;73;1457;105;52;12;134;949;2.7;-0.17
01032;Béligneux;3535;1335.68;78;2885;99;50;3209;28;2582;102;64;15;280;700;11.3;0.84
01033;Valserhône;16712;6286.07;743;2458;72;226;3098;517;2313;103;65;113;107;591;13.2;-0.14
01034;Belley;9388;2254.61;341;2133;80;164;2265;177;2041;102;64;76;78;739;3.7;0.25
01035;Belleydoux;306;1781.95;15;2455;103;12;2351;3;3418;105;80;7;5;1500;1.3;-0.59
01036;Valromey-sur-Séran;1351;5660.41;66;1982;100;64;1982;2;2156;100;97;23;28;1068;5.3;0.64
01037;Bénonces;311;1536.02;11;1655;87;10;1593;1;2143;91;63;6;14;398;1.4;0.94
01038;Bény;777;1828.16;22;2101;104;21;2091;1;3422;106;45;10;50;783;1.7;0.15
01040;Béréziat;475;1127.05;14;2088;113;13;2077;3;5075;120;67;9;45;1466;0.4;-0.44
