city_code;da_name;da_population;da_surface_ha;dvf_nbtrans_residential;dvf_pxm2_median_residential;dvf_surface_median_residential;dvf_nbtrans_cod111;dvf_pxm2_median_cod111;dvf_nbtrans_cod121;dvf_pxm2_median_cod121;dvf_surface_median_cod111;dvf_surface_median_cod121;dvf_nbtrans_terrain;dvf_pxm2_median_terrain;dvf_surface_median_terrain
01001;L'Abergement-Clémenciat;860;1564.5;17;2376;92;17;2376;0;;92;;4;132;624
01002;L'Abergement-de-Varey;270;919.01;7;1883;113;6;1826;2;3545;122;70;3;58;1082
01004;Ambérieu-en-Bugey;15934;2454.8;392;2344;81;205;2500;187;2230;92;70;30;697;339
01005;Ambérieux-en-Dombes;1906;1603.97;85;2819;88;43;3170;42;2633;102;65;10;295;455
01006;Ambléon;115;604.01;10;1689;99;8;1832;2;1452;86;120;0;;
01007;Ambronay;2841;3370.53;77;2352;102;76;2370;8;2070;102;64;15;215;404
01008;Ambutrix;760;518.27;18;2388;97;18;2388;0;;97;;2;41;2339
01009;Andert-et-Condon;348;700.67;17;1889;111;14;2116;6;1237;113;81;4;142;1121
01010;Anglefort;1174;2955.54;45;2878;66;30;2556;16;3207;86;57;5;52;1239
01011;Apremont;415;1507.23;10;2298;88;6;2298;4;2142;107;63;4;171;637
01012;Aranc;331;2171.31;12;1373;80;12;1373;1;17500;80;18;0;;
01013;Arandas;138;1405.34;6;1145;78;12;1389;1;894;73;104;0;;
01014;Arbent;3555;2366.87;54;1986;81;32;2126;22;1536;102;53;7;643;279
01015;Arboys en Bugey;710;2260.53;16;1620;103;15;1518;3;5175;105;40;2;123;1013
01016;Arbigny;462;1754.36;12;2114;93;12;2114;0;;93;;6;45;1065
01017;Argis;419;781.9;25;1372;78;22;1338;9;955;81;55;2;373;487
01019;Armix;25;696.88;2;1551;107;2;1551;0;;107;;0;;
01021;Ars-sur-Formans;1528;551.98;22;3185;99;18;3185;8;3277;109;54;7;315;331
01022;Artemare;1139;332.29;48;2082;94;46;2082;8;1942;96;59;4;2972;253
01023;Asnières-sur-Saône;78;466.77;5;1338;84;5;1338;0;;84;;0;;
01024;Attignat;3409;1894.31;79;2294;97;63;2292;16;2405;103;66;23;173;378
01025;Bâgé-Dommartin;4050;5701.1;81;2174;97;78;2188;8;1848;99;92;39;96;621
01026;Bâgé-le-Châtel;971;87.64;26;2283;90;21;2339;5;2226;93;55;5;256;106
01027;Balan;3077;1799.48;37;3217;95;29;3264;26;2501;100;50;10;310;623
01028;Baneins;621;907.01;15;2625;95;14;2611;1;3070;100;57;4;165;577
01029;Beaupont;734;1415.51;24;1549;96;23;1539;1;2860;100;50;5;45;1641
01030;Beauregard;872;98.18;23;2128;87;17;2342;6;1861;93;76;11;534;309
01031;Bellignat;3525;781.94;86;1610;62;27;2121;59;1411;109;52;7;230;917
01032;Béligneux;3535;1335.68;64;2885;100;40;3278;24;2506;103;66;13;287;645
01033;Valserhône;16712;6286.07;579;2451;71;174;3094;405;2320;102;64;40;252;547
01034;Belley;9388;2254.61;257;2125;82;119;2228;138;2012;102;68;28;98;759
01035;Belleydoux;306;1781.95;12;2351;99;9;2247;3;3418;103;80;1;34;1455
01036;Valromey-sur-Séran;1351;5660.41;50;1902;100;49;1905;3;1691;100;56;5;32;1255
01037;Bénonces;311;1536.02;9;2143;63;8;1950;1;2143;74;63;0;;
01038;Bény;777;1828.16;16;2017;94;15;1944;1;3422;98;45;12;105;425
01040;Béréziat;475;1127.05;8;1989;138;8;1989;2;6535;138;41;3;49;916
01041;Bettant;774;343.27;26;1740;92;24;1740;6;1915;95;71;1;125;479
01042;Bey;286;277.57;9;2637;94;9;2637;0;;94;;4;95;607
01043;Beynost;5198;1068.97;130;3738;98;93;3944;37;3035;110;69;33;538;451
01044;Billiat;713;1404.11;15;2809;101;14;2846;5;1535;101;58;1;180;796
01045;Birieux;275;1577.34;7;1909;101;6;2455;5;1955;101;110;2;758;266
01046;Biziat;889;1158.05;21;2191;130;21;2191;0;;130;;3;59;1100
01047;Blyes;1401;942.45;32;2960;104;30;3026;4;2742;104;67;27;309;500
01049;La Boisse;3449;942.46;75;3238;99;61;3322;14;2757;101;73;18;415;422
01050;Boissey;396;945.41;15;1752;100;15;1752;1;3520;100;25;6;67;1039
01051;Bolozon;103;497.27;7;1292;71;7;1292;0;;71;;0;;
01052;Bouligneux;318;2623.93;5;2299;99;5;2299;0;;99;;2;473;410
01053;Bourg-en-Bresse;42372;2403.23;1455;2018;69;269;2296;1186;1954;97;65;49;206;430
01054;Bourg-Saint-Christophe;1562;899.82;36;2898;100;36;2898;0;;100;;14;319;371
01056;Boyeux-Saint-Jérôme;367;1671.47;9;1667;81;9;1667;0;;81;;0;;
01057;Boz;513;769.11;15;2266;100;15;2266;0;;100;;6;43;1252
01058;Brégnier-Cordon;804;1125.73;28;1950;94;26;2045;6;1427;94;44;6;191;498
01060;Brénod;576;2402.27;12;1023;97;19;1105;8;971;98;70;2;25;1418
