Code_insee;Departement;Commune;Classement FRR et FRR+ au 10 juillet 2025;
01001;01;L'Abergement-Clémenciat;Non classée;
01002;01;L'Abergement-de-Varey;Non classée;
01004;01;Ambérieu-en-Bugey;Non classée;
01005;01;Ambérieux-en-Dombes;Non classée;
01006;01;Ambléon;Non classée;
01007;01;Ambronay;Non classée;
01008;01;Ambutrix;Non classée;
01009;01;Andert-et-Condon;Non classée;
01010;01;Anglefort;Non classée;
01011;01;Apremont;Non classée;
01012;01;Aranc;Non classée;
01013;01;Arandas;Non classée;
01014;01;Arbent;Non classée;
01015;01;Arboys en Bugey;Non classée;
01016;01;Arbigny;Non classée;
01017;01;Argis;Non classée;
01019;01;Armix;Non classée;
01021;01;Ars-sur-Formans;Non classée;
01022;01;Artemare;Non classée;
01023;01;Asnières-sur-Saône;Non classée;
01024;01;Attignat;Non classée;
01025;01;Bâgé-Dommartin;Non classée;
01026;01;Bâgé-le-Châtel;Non classée;
01027;01;Balan;Non classée;
01028;01;Baneins;Non classée;
01029;01;Beaupont;FRR socle;
01030;01;Beauregard;Non classée;
01031;01;Bellignat;Non classée;
01032;01;Béligneux;Non classée;
01033;01;Valserhône;Non classée;
01034;01;Belley;Non classée;
01035;01;Belleydoux;Non classée;
01036;01;Valromey-sur-Séran;Non classée;
01037;01;Bénonces;Non classée;
01038;01;Bény;Non classée;
01040;01;Béréziat;Non classée;
01041;01;Bettant;Non classée;
01042;01;Bey;Non classée;
01043;01;Beynost;Non classée;
01044;01;Billiat;Non classée;
01045;01;Birieux;Non classée;
01046;01;Biziat;Non classée;
01047;01;Blyes;Non classée;
01049;01;La Boisse;Non classée;
01050;01;Boissey;Non classée;
01051;01;Bolozon;Non classée;
01052;01;Bouligneux;Non classée;
01053;01;Bourg-en-Bresse;Non classée;
01054;01;Bourg-Saint-Christophe;Non classée;
01056;01;Boyeux-Saint-Jérôme;Non classée;
01057;01;Boz;Non classée;
01058;01;Brégnier-Cordon;Non classée;
01060;01;Brénod;FRR bénéficiaire;
01061;01;Brens;Non classée;
01062;01;Bressolles;Non classée;
01063;01;Brion;Non classée;
01064;01;Briord;Non classée;
01065;01;Buellas;Non classée;
01066;01;La Burbanche;Non classée;
01067;01;Ceignes;Non classée;
01068;01;Cerdon;Non classée;
01069;01;Certines;Non classée;
01071;01;Cessy;Non classée;
01072;01;Ceyzériat;Non classée;
01073;01;Ceyzérieu;Non classée;
01074;01;Chalamont;Non classée;
01075;01;Chaleins;Non classée;
01076;01;Chaley;Non classée;
01077;01;Challes-la-Montagne;Non classée;
01078;01;Challex;Non classée;
01079;01;Champagne-en-Valromey;Non classée;
01080;01;Champdor-Corcelles;FRR bénéficiaire;
01081;01;Champfromier;Non classée;
01082;01;Chanay;Non classée;
01083;01;Chaneins;Non classée;
01084;01;Chanoz-Châtenay;Non classée;
01085;01;La Chapelle-du-Châtelard;Non classée;
01087;01;Charix;Non classée;
01088;01;Charnoz-sur-Ain;Non classée;
01089;01;Château-Gaillard;Non classée;
01090;01;Châtenay;Non classée;
01092;01;Châtillon-la-Palud;Non classée;
01093;01;Châtillon-sur-Chalaronne;Non classée;
01094;01;Chavannes-sur-Reyssouze;Non classée;
01095;01;Nivigne et Suran;Non classée;
01096;01;Chaveyriat;Non classée;
01098;01;Chazey-Bons;Non classée;
01099;01;Chazey-sur-Ain;Non classée;
01100;01;Cheignieu-la-Balme;Non classée;
01101;01;Chevillard;FRR bénéficiaire;
01102;01;Chevroux;Non classée;
01103;01;Chevry;Non classée;
01104;01;Chézery-Forens;Non classée;
01105;01;Civrieux;Non classée;
01106;01;Cize;Non classée;
01107;01;Cleyzieu;Non classée;
01108;01;Coligny;FRR socle;
01109;01;Collonges;Non classée;
01110;01;Colomieu;Non classée;
01111;01;Conand;Non classée;
01112;01;Condamine;FRR bénéficiaire;
01113;01;Condeissiat;Non classée;
01114;01;Confort;Non classée;
01115;01;Confrançon;Non classée;
01116;01;Contrevoz;Non classée;
01117;01;Conzieu;Non classée;
01118;01;Corbonod;Non classée;
01121;01;Corlier;Non classée;
01123;01;Cormoranche-sur-Saône;Non classée;
01124;01;Cormoz;FRR socle;
01125;01;Corveissiat;Non classée;
01127;01;Courmangoux;FRR socle;
01128;01;Courtes;FRR bénéficiaire;
01129;01;Crans;Non classée;
01130;01;Bresse Vallons;Non classée;
01133;01;Cressin-Rochefort;Non classée;
01134;01;Crottet;Non classée;
01135;01;Crozet;Non classée;
01136;01;Cruzilles-lès-Mépillat;Non classée;
01138;01;Culoz-Béon;Non classée;
01139;01;Curciat-Dongalon;FRR bénéficiaire;
01140;01;Curtafond;Non classée;
01141;01;Cuzieu;Non classée;
01142;01;Dagneux;Non classée;
01143;01;Divonne-les-Bains;Non classée;
01145;01;Dompierre-sur-Veyle;Non classée;
01146;01;Dompierre-sur-Chalaronne;Non classée;
01147;01;Domsure;FRR socle;
01148;01;Dortan;Non classée;
01149;01;Douvres;Non classée;
01150;01;Drom;Non classée;
01151;01;Druillat;Non classée;
01152;01;Échallon;Non classée;
01153;01;Échenevex;Non classée;
01155;01;Évosges;Non classée;
01156;01;Faramans;Non classée;
01157;01;Fareins;Non classée;
01158;01;Farges;Non classée;
01159;01;Feillens;Non classée;
01160;01;Ferney-Voltaire;Non classée;
01162;01;Flaxieu;Non classée;
01163;01;Foissiat;Non classée;
01165;01;Francheleins;Non classée;
01166;01;Frans;Non classée;
01167;01;Garnerans;Non classée;
01169;01;Genouilleux;Non classée;
01170;01;Béard-Géovreissiat;Non classée;
01171;01;Géovreisset;Non classée;
01173;01;Gex;Non classée;
01174;01;Giron;Non classée;
01175;01;Gorrevod;Non classée;
01177;01;Grand-Corent;Non classée;
01179;01;Grièges;Non classée;
01180;01;Grilly;Non classée;
01181;01;Groissiat;Non classée;
01183;01;Guéreins;Non classée;
01184;01;Hautecourt-Romanèche;Non classée;
01185;01;Plateau d'Hauteville;Non classée;
01187;01;Haut Valromey;FRR bénéficiaire partiellement;
01188;01;Illiat;Non classée;
01189;01;Injoux-Génissiat;Non classée;
01190;01;Innimond;Non classée;
01191;01;Izenave;FRR bénéficiaire;
01192;01;Izernore;Non classée;
01193;01;Izieu;Non classée;
01194;01;Jassans-Riottier;Non classée;
01195;01;Jasseron;Non classée;
01196;01;Jayat;Non classée;
01197;01;Journans;Non classée;
01198;01;Joyeux;Non classée;
01199;01;Jujurieux;Non classée;
01200;01;Labalme;Non classée;
01202;01;Lagnieu;Non classée;
01203;01;Laiz;Non classée;
01204;01;Le Poizat-Lalleyriat;Non classée;
01206;01;Lantenay;FRR bénéficiaire;
